arrival_rate,seed,utilization,fraction_served,mean_number_in_system,mean_delay,total_served,total_arrived,clock_time
0.09000,400474322,0.9000985236,0.9999998600,4.9468777771,54.9592922022,50000000,50000007,555494745.1614476400
0.09000,89101112,0.9000065599,0.9999999600,4.9397142597,54.8853139509,50000000,50000002,555551506.2754010000
0.09000,424242,0.9000262296,0.9999999400,4.9436392302,54.9277239648,50000000,50000003,555539364.8967053900
0.09000,8675309,0.8999746084,0.9999995800,4.9470344752,54.9686005455,50000000,50000021,555571229.8037204700
0.09000,1357911,0.9003108971,0.9999998000,4.9719047260,55.2243090900,50000000,50000010,555363710.0255241400
0.09000,24681012,0.9000188407,1.0000000000,4.9499297119,54.9980676872,50000000,50000000,555543925.7595707200
0.09000,31415926,0.8999853478,0.9999995800,4.9452354463,54.9479550805,50000000,50000021,555564600.2789243500
0.09000,27182818,0.9001452476,0.9999999000,4.9510010702,55.0022463963,50000000,50000005,555465910.9987345900
0.09000,16180339,0.9001011293,0.9999999600,4.9465096820,54.9550436154,50000000,50000002,555493137.0622416700
AVG,0.09000,10_seeds,avg_mean_delay,54.9927589281
